,timekeeper,Elapsed time (s),Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,20.13,-0.5926971436,0.6248931885,-0.5116577148,-0.1497955322,0.2663269043,-0.9416503906,0.1439521164,0.2376905829,0.07166113704,-0.09223831445,0.03235208243,0.08775568753,-314.630249,-52.09870911,-124.0496521,-7.121276855,72.79881287,137.8673553
3,1.0,20.14,-0.5915374756,0.6346282959,-0.5718841553,-0.1513214111,0.2702026367,-0.9326629639,0.119655557,0.1847882271,0.05901058763,-0.08077953756,0.02487951703,0.1058249697,-315.2837524,-51.90765381,-123.9256287,-6.975845337,72.42858887,137.6464691
4,2.0,20.15,-0.5438079834,0.6983947754,-0.6860656738,-0.1505584717,0.2772674561,-0.9215545654,0.06904511154,0.09613958001,0.02076253667,-0.06158027425,0.01727326214,0.1267249286,-315.1743164,-51.81668091,-123.0540161,-6.880111694,72.65588379,137.7145233
5,3.0,20.16,-0.599319458,0.7450714111,-0.7346191406,-0.1528778076,0.2812042236,-0.9172210693,0.08147381991,0.01164813433,-0.02547686361,-0.04227847978,0.01183109265,0.1553195417,-315.3676758,-51.31227112,-122.5668182,-7.0703125,72.66767883,137.651947
6,4.0,20.17,-0.6508636475,0.78565979,-0.6951904297,-0.1503753662,0.2815856934,-0.9183044434,0.0866195783,0.06338643283,-0.029736856,-0.03411482647,-6.73779723e-05,0.1827916503,-315.404541,-51.08106995,-122.1934357,-7.142868042,72.64555359,137.5484619
7,5.0,20.18,-0.6382141113,0.8350219727,-0.6937255859,-0.1442871094,0.2793884277,-0.9197235107,0.08718656749,0.05972218513,-0.009731722996,-0.02782790177,-0.02024907805,0.2035065144,-315.5270386,-50.92918396,-121.764328,-7.150939941,72.77386475,137.6218719
8,6.0,20.19,-0.722076416,0.8598022461,-0.7358551025,-0.1318359375,0.2799377441,-0.9237976074,0.1357194781,0.009390039369,0.08837886155,-0.02406911738,-0.03843687102,0.2105833292,-316.4799194,-50.98207092,-121.3741913,-7.288497925,72.59552002,137.6378632
9,7.0,20.2,-0.7423400879,0.8754272461,-0.6699371338,-0.1201019287,0.2807617188,-0.927734375,0.1949447244,0.1316376477,0.09648206085,-0.02255138196,-0.05223444104,0.2024963796,-316.468811,-50.91674805,-120.7010651,-7.027832031,72.62446594,137.5826416
