Elapsed time (s),Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
0.00,0.03329467773,0.9442749023,-0.2992706299,-0.6846008301,-0.6591949463,0.09812927246,0.02847904526,0.04214292765,-0.02056386508,-0.0002207760554,0.04875928164,-0.01137436088,-303.151062,-28.75427246,-114.3018799,-57.87875366,34.45307922,183.3594055
0.01,0.03419494629,0.9527282715,-0.3068237305,-0.6959381104,-0.6726531982,0.1047515869,0.03619022667,0.04184705019,-0.02325259149,-0.02881114185,0.07448115945,0.01072668005,-302.7182617,-28.77223206,-114.31604,-57.93812561,34.39430237,183.3108521
0.02,0.03762817383,0.946105957,-0.2996826172,-0.6854858398,-0.6903839111,0.1095733643,0.03025404178,0.04800001532,-0.03196618706,-0.0406547524,0.07174050063,0.02100781351,-302.737793,-29.08872986,-114.7783508,-57.80050659,34.4233551,183.2608948
0.03,0.04306030273,0.9460906982,-0.2938842773,-0.6855316162,-0.7033233643,0.1256561279,0.02647421695,0.05106957629,-0.03118961118,-0.0403903015,0.07390724868,0.01649056002,-302.65979,-29.10545349,-114.699585,-57.76696777,34.59262085,183.5543823
0.04,0.04179382324,0.942199707,-0.2943115234,-0.6845703125,-0.7098693848,0.1300354004,0.0153805539,0.05616153777,-0.03212784231,-0.04134770483,0.04526521638,0.01991937868,-302.3300171,-28.75784302,-114.6950073,-57.40045166,34.43322754,183.3985901
0.05,0.04090881348,0.938873291,-0.2958831787,-0.6800384521,-0.7102355957,0.1412200928,0.003524427302,0.06117600575,-0.03773273155,-0.04243720695,0.03430950269,0.009633186273,-302.6891174,-28.88700867,-114.7385712,-57.82836914,34.39167786,183.505188
0.06,0.04008483887,0.9376068115,-0.2981262207,-0.6736907959,-0.7064056396,0.1518249512,0.0008271778352,0.06556808949,-0.04636270553,-0.03900146112,0.03247591853,0.007709851488,-302.4580688,-28.83387756,-114.7762604,-57.87124634,34.39533997,183.4529724
0.07,0.04092407227,0.9348602295,-0.3038787842,-0.6840209961,-0.6983337402,0.1463012695,-0.001948634977,0.06998760998,-0.05408161134,-0.07129521668,0.04127739742,-0.005177717656,-302.593689,-29.05909729,-114.6660767,-58.11265564,34.48535156,183.7687531
0.08,0.04472351074,0.9449157715,-0.3059844971,-0.6903991699,-0.6921844482,0.1370544434,-0.007600395475,0.06372544914,-0.05596286803,-0.0805310607,-0.007634217385,-0.009619071148,-303.0112915,-28.82843018,-114.6901703,-57.80970764,34.39604187,183.6552734
0.09,0.04554748535,0.9482421875,-0.3013305664,-0.6885070801,-0.701965332,0.1350708008,-0.0126372315,0.05143282935,-0.05338705704,-0.1022914872,-0.04302123562,-0.023080552,-303.4217529,-28.83740234,-114.7064209,-57.96644592,34.61868286,183.7729645
0.10,0.04545593262,0.95362854,-0.2918395996,-0.6849365234,-0.7011413574,0.1275634766,-0.01158208773,0.04836300388,-0.0499875322,-0.1028978825,-0.02338921279,-0.03683817387,-303.5511475,-28.77915955,-114.7202911,-57.79672241,34.59558105,183.5725708
0.11,0.04995727539,0.945892334,-0.2892150879,-0.6854248047,-0.7013397217,0.123916626,-0.01102095935,0.05033987015,-0.05141285807,-0.1144538745,0.01975293271,-0.03292066604,-302.8537903,-28.80953979,-114.7928162,-57.82511902,34.52381897,183.8858337
0.12,0.05012512207,0.9441070557,-0.2868347168,-0.6994781494,-0.7012939453,0.1157531738,-0.007549795322,0.04713688418,-0.0553205125,-0.1210398749,0.064342767,-0.01859791949,-303.6065979,-29.04853821,-114.9306488,-57.72506714,34.60464478,183.6909943
0.13,0.04756164551,0.9418945313,-0.2878723145,-0.7075500488,-0.6976318359,0.1167449951,-0.003809651826,0.04390140995,-0.06516701728,-0.1193706021,0.07269097865,-0.006653375458,-303.1736145,-28.98809814,-114.2220001,-58.0226593,34.79728699,183.9237823
0.14,0.04736328125,0.9449310303,-0.2911682129,-0.7065734863,-0.6969909668,0.1145324707,-0.005941778887,0.03339311108,-0.07503642887,-0.1340784431,0.09183511138,0.00980496034,-302.873291,-28.77519226,-114.9821014,-58.04829407,34.64047241,183.8417969
