Elapsed Time (s),Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
0.00,-0.1360778809,0.9741210938,-0.1380310059,-0.7198944092,-0.5402984619,0.3210754395,-0.01551451068,0.09697394818,-0.03942383826,-0.02868277766,-0.0600785166,0.1912205517,-308.8152466,-36.75642395,-102.8064117,-53.90020752,26.84701538,172.3618164
0.01,-0.1396636963,0.9768066406,-0.1510009766,-0.711227417,-0.5463562012,0.3158111572,-0.007828095928,0.05150313675,-0.03494679928,-0.004319913685,-0.1024227813,0.1321114302,-308.4442749,-36.83096313,-102.0229187,-53.73138428,26.95283508,172.2693787
0.02,-0.1444854736,0.9731750488,-0.1620635986,-0.7116546631,-0.5513916016,0.3027801514,0.009028116241,0.01424791198,-0.0357731767,0.006285326555,-0.1155529618,0.06813777238,-308.9172974,-36.79283142,-102.6916504,-53.7931366,26.88796997,172.3508759
0.03,-0.1449432373,0.9738616943,-0.1626434326,-0.7272491455,-0.5547790527,0.2847442627,0.008344216272,-0.00836232584,-0.03161997721,0.01770842262,-0.08934612572,0.02369094826,-308.2492065,-37.12452698,-101.897049,-53.70983887,26.55332947,172.0281219
0.04,-0.1338653564,0.9784240723,-0.1698303223,-0.7494049072,-0.5487060547,0.2660827637,-0.001646099845,-0.001527322922,-0.02420493774,0.02177400514,-0.05171459168,-0.001650094637,-309.5750732,-36.56910706,-102.2628174,-54.28341675,26.72445679,172.34021
0.05,-0.1373748779,0.9730529785,-0.1865081787,-0.7613220215,-0.5464477539,0.255279541,-0.01320954505,0.006144179031,-0.01595872641,0.02459429204,-0.03245248273,-0.01238662843,-309.7324219,-36.56567383,-102.333252,-54.18572998,26.83082581,172.2732544
0.06,-0.1505279541,0.9653625488,-0.193649292,-0.7630004883,-0.5451965332,0.2480621338,-0.01735209301,0.0008426241693,-0.01285135001,0.01756887324,-0.02440787107,-0.02995097451,-309.1563721,-36.66030884,-101.9107819,-53.97398376,26.75991821,172.3100891
0.07,-0.1436309814,0.9676361084,-0.1934356689,-0.7600860596,-0.5487823486,0.2394561768,-0.02391438745,0.006170277949,-0.01372380182,0.005664277356,-0.01419970859,-0.04116741195,-309.3910828,-36.51052856,-102.2787476,-54.04101563,26.76612854,172.2249298
0.08,-0.131729126,0.9755859375,-0.1893463135,-0.7678833008,-0.5545806885,0.2405853271,-0.02700658329,0.01942403242,-0.008753277361,-0.008045409806,-0.009323460981,-0.04181082919,-309.0968628,-36.68067932,-102.028656,-54.04298401,26.66242981,172.2358246
0.09,-0.1250915527,0.9766387939,-0.1811523438,-0.774597168,-0.5506134033,0.2467498779,-0.02130209282,0.03400457278,0.004319114611,-0.01991724968,-0.01116477046,-0.03857535496,-309.5700378,-36.59231567,-101.9032288,-54.08847046,26.69558716,172.2726746
0.10,-0.1269989014,0.9728240967,-0.1695861816,-0.774307251,-0.544342041,0.2526245117,-0.006835801993,0.03632391989,0.007003314793,-0.01357732806,-0.01194800623,-0.04028723389,-309.3986816,-36.68241882,-101.8944702,-54.06813049,26.6078186,172.3217468
0.11,-0.1356658936,0.9707641602,-0.1673583984,-0.7729949951,-0.5409240723,0.2590637207,0.004914597608,0.01023452822,0.005048554391,0.005698631983,0.0008780442295,-0.04978859425,-309.1690063,-36.75454712,-101.8957977,-54.12271118,26.5609436,172.3518982
0.12,-0.1416168213,0.9674224854,-0.161895752,-0.7666473389,-0.5409393311,0.2630615234,0.0113589149,-0.01911909878,-0.006542587653,0.02008662559,-0.008887235075,-0.06873831898,-310.1647949,-36.77816772,-102.306778,-53.97624207,26.84425354,172.4114838
0.13,-0.1343231201,0.9630584717,-0.1608123779,-0.7698974609,-0.5452270508,0.2638702393,0.008490423672,-0.03248950094,-0.01079938468,0.02227015235,-0.03005670197,-0.06540670246,-309.9699097,-36.4683075,-101.9903717,-54.22213745,26.80924988,172.3217621
0.14,-0.1284942627,0.9590454102,-0.1696929932,-0.7893218994,-0.546081543,0.2659454346,-0.01009231526,-0.02587207779,-0.009822270833,0.02561907656,-0.02655757405,-0.03639608994,-309.5231934,-36.71966553,-102.1287231,-53.81471252,26.74252319,172.3342896
0.15,-0.1316070557,0.9591522217,-0.1767425537,-0.7979431152,-0.5461578369,0.2687225342,-0.01875904016,-0.01799844205,-0.01071123406,0.04049096629,-0.007073622197,-0.01101456769,-309.3025818,-36.65110779,-102.3824768,-53.97657776,26.73320007,172.3413391
0.16,-0.1293334961,0.9669647217,-0.1824645996,-0.7907104492,-0.5469055176,0.2718505859,-0.01344390307,-0.001616805093,-0.0178967081,0.05583876371,-0.005443234928,-0.005815544631,-309.2383423,-36.7587738,-101.9308777,-53.91819763,26.71166992,172.3383789
0.17,-0.1244049072,0.9690551758,-0.1839904785,-0.7753601074,-0.5502471924,0.2742767334,0.007603058591,0.008172442205,-0.01553102303,0.06684481353,-0.02019821294,-0.01621359028,-309.658783,-36.59819031,-101.9172058,-54.06791687,26.68273926,172.3153839
0.18,-0.1201019287,0.96875,-0.179473877,-0.76121521,-0.5635681152,0.2649383545,0.02154337429,0.01967623271,-0.01391821261,0.05294311047,-0.04667109996,-0.04258554429,-309.3218079,-36.65228271,-102.1022949,-54.18714905,26.78759766,172.2210999
0.19,-0.1210174561,0.9632110596,-0.1750183105,-0.7548980713,-0.5751190186,0.2521362305,0.03161837906,0.02683507651,-0.01076902449,0.02689366601,-0.07192159444,-0.07763753831,-310.0290222,-36.62387085,-102.3056183,-53.91711426,26.79656982,172.2170563
0.20,-0.1242675781,0.9560546875,-0.1686859131,-0.7667236328,-0.5754547119,0.2448272705,0.03467542306,0.03542510048,-0.0175638143,-0.005030711181,-0.06629486382,-0.1065120623,-309.5341187,-37.00866699,-102.3538513,-53.99707031,26.56011963,171.9345856
0.21,-0.126373291,0.9547424316,-0.1614990234,-0.7811584473,-0.5732727051,0.2426757813,0.0262166895,0.04218074307,-0.02389015257,-0.02837678045,-0.04399169236,-0.1198230758,-309.4412231,-36.69384766,-102.0705109,-54.29206848,26.88485718,172.0856934
0.22,-0.1295928955,0.9533233643,-0.1625366211,-0.7932891846,-0.5680389404,0.2427825928,0.01302099321,0.05152790621,-0.0311568547,-0.04285026342,-0.0381591022,-0.1194188073,-310.3128967,-36.43647766,-102.495575,-54.16770935,26.73490906,172.100174
0.23,-0.1255645752,0.9577331543,-0.1711120605,-0.8004608154,-0.5600280762,0.2453155518,0.008461661637,0.07572352141,-0.03641606495,-0.04325959086,-0.035392344,-0.1170651019,-309.5368347,-36.67729187,-102.1074371,-54.17146301,27.01567078,172.0006866
0.24,-0.1295928955,0.9715576172,-0.1772766113,-0.8076324463,-0.5513458252,0.2501678467,0.01362739503,0.07524069399,-0.03798732907,-0.0363878347,-0.03395476937,-0.1078393832,-309.3831787,-36.74986267,-101.9830933,-54.06288147,26.98222351,172.2394714
0.25,-0.1387176514,0.985534668,-0.1793365479,-0.8156738281,-0.5489196777,0.2490539551,0.0340924561,0.06079064682,-0.03828294203,-0.02971075661,-0.01859472319,-0.08939485997,-309.6555786,-36.62786865,-101.9293365,-54.27668762,26.96426392,172.1282349
0.26,-0.1429748535,0.9881439209,-0.1763000488,-0.8231964111,-0.5450744629,0.2409362793,0.053646449,0.04553179815,-0.04448224604,-0.02607687376,0.02229092456,-0.05512237549,-309.7924805,-36.60014343,-101.9827728,-54.41415405,26.95950317,172.078186
0.27,-0.1368865967,0.9842529297,-0.1692047119,-0.8256835938,-0.5424499512,0.2402191162,0.05849979445,0.03548448905,-0.04510462657,-0.02414554916,0.06169665232,-0.02226828784,-309.7659607,-36.68305969,-101.913147,-54.40820313,27.02246094,172.2773743
0.28,-0.1296539307,0.9817810059,-0.1663818359,-0.8164672852,-0.5467224121,0.2408752441,0.05447975174,0.0259327963,-0.03321601078,-0.03128788248,0.07347421348,0.004402471706,-309.3895874,-36.21995544,-102.125946,-54.38214111,27.06677246,172.3619537
0.29,-0.1294555664,0.9758605957,-0.159942627,-0.8028259277,-0.5529632568,0.2433929443,0.04107020423,0.009885387495,-0.02718261816,-0.04628334194,0.06145643815,0.02882152796,-310.1734009,-36.42282104,-102.3105011,-54.08250427,27.04238892,172.2359161
0.30,-0.1331176758,0.969909668,-0.1506652832,-0.7922973633,-0.5541687012,0.25,0.01947809383,-0.003410444129,-0.01945732161,-0.05208397284,0.03234861791,0.04762211442,-309.3657837,-36.3956604,-101.5575867,-54.02453613,27.00524902,172.4464111
0.31,-0.1337738037,0.964630127,-0.1469726563,-0.7935180664,-0.5498352051,0.2538604736,0.001641039853,-0.007523962762,-0.01938621514,-0.05544941127,0.01188462228,0.07904314995,-309.7796326,-36.63671875,-101.85672,-54.11621094,26.87690735,172.2186737
0.32,-0.1349182129,0.9651947021,-0.1429290771,-0.7977752686,-0.5437927246,0.2556304932,-0.01675421186,-0.01594807394,-0.0167089384,-0.05331515148,0.00894848723,0.1203573048,-310.4481812,-36.62373352,-102.0334015,-54.06054688,26.71766663,172.2192688
0.33,-0.1369018555,0.9675598145,-0.145690918,-0.7927093506,-0.5419006348,0.2557525635,-0.02732776105,-0.03055870719,-0.02254046313,-0.05430398509,-0.01924453489,0.1536838412,-309.754364,-36.65388489,-102.1524353,-54.2802124,26.68711853,172.3845978
0.34,-0.1345367432,0.9675445557,-0.1479492188,-0.7845153809,-0.5465545654,0.2536621094,-0.02354633808,-0.0357028693,-0.02093164623,-0.05690855533,-0.03997804224,0.1777084768,-309.2243042,-36.79170227,-101.9480591,-54.01034546,26.88270569,172.3923798
0.35,-0.1353607178,0.9727935791,-0.155456543,-0.7735595703,-0.5487060547,0.2510986328,-0.01265241206,-0.04843251407,-0.02510775067,-0.06374249607,-0.03744990379,0.1803596467,-309.1014404,-36.96629333,-102.2829437,-53.98460388,26.59985352,172.4676056
0.36,-0.1347808838,0.9764251709,-0.1661834717,-0.7592315674,-0.5535736084,0.2501983643,-0.0008199872682,-0.05297826231,-0.02890115604,-0.07608917356,-0.01284016483,0.1489775032,-309.4628296,-36.43383789,-102.2705383,-54.01223755,26.49897766,172.5695343
0.37,-0.1362762451,0.9794311523,-0.1772003174,-0.7444763184,-0.5553283691,0.2496643066,0.007752994541,-0.04987594858,-0.03577584028,-0.08272443712,0.006938067265,0.09813242406,-309.1541443,-36.46255493,-101.9194031,-53.58154297,26.56040955,172.3317108
0.38,-0.1351013184,0.9847412109,-0.1804351807,-0.7367095947,-0.5540466309,0.2547149658,0.01322259475,-0.04098737985,-0.03753326088,-0.08028391749,0.006978014484,0.02948891558,-309.5022583,-36.29251099,-102.1765747,-53.46733093,26.55148315,172.5104065
0.39,-0.1277160645,0.9932403564,-0.1789398193,-0.7362670898,-0.5524902344,0.2607116699,0.01916836761,-0.03148761764,-0.02951874398,-0.07183344662,-0.00433322927,-0.03026256524,-308.9968262,-36.60940552,-102.4829865,-53.99415588,26.59733582,172.5053253
0.40,-0.1255493164,0.9981231689,-0.1769256592,-0.7519378662,-0.5517730713,0.2586517334,0.02966228873,-0.02854881994,-0.01872388646,-0.06801393628,0.005507150665,-0.04925756156,-309.4129639,-36.19726563,-102.0322571,-53.99461365,26.49868774,172.5718994
0.41,-0.1281433105,0.9940643311,-0.1760253906,-0.7717285156,-0.5489349365,0.2520141602,0.04199032858,-0.01992603764,-0.0001712412632,-0.07913689315,0.005599562544,-0.03381415457,-309.4213867,-36.18945313,-102.4499664,-53.79722595,26.46528625,172.6788635
0.42,-0.1278991699,0.9880065918,-0.1649017334,-0.78515625,-0.5488739014,0.248260498,0.03893754631,-0.004671184346,0.01379544102,-0.08943374455,-0.01338531356,-0.006631537341,-309.2097168,-36.51315308,-101.8879242,-53.95761108,26.68339539,172.4552765
0.43,-0.1309051514,0.9865570068,-0.1481323242,-0.7935028076,-0.5526885986,0.251663208,0.03138748556,0.01431742031,0.02319187112,-0.08527202159,-0.02827744372,0.03189907596,-309.3994141,-36.52322388,-101.963089,-53.77455139,26.69862366,172.6678925
0.44,-0.1380310059,0.982421875,-0.1409759521,-0.7943725586,-0.5489349365,0.2575531006,0.01657791063,0.01823280007,0.03261413425,-0.07088536024,-0.0572518371,0.09077677131,-309.0723267,-37.05126953,-101.9268799,-53.61535645,26.54760742,172.6607208
0.45,-0.1399841309,0.9744110107,-0.1371459961,-0.781539917,-0.544708252,0.2635040283,0.003791542491,0.022639798,0.03689330444,-0.0650061667,-0.1313737333,0.1381613314,-309.3694763,-36.27284241,-101.9812317,-54.039505,26.30560303,172.4641113
0.46,-0.1408691406,0.9752960205,-0.1322937012,-0.7693023682,-0.5489654541,0.2613983154,-0.01271952316,0.01645167731,0.04222282022,-0.05913043022,-0.2023033053,0.1673636883,-309.3130493,-36.77523804,-101.7945709,-54.0075531,26.46432495,172.4604187
0.47,-0.138671875,0.9820404053,-0.1360168457,-0.7753448486,-0.5566101074,0.2506408691,-0.02513358183,-0.001278583659,0.0459070392,-0.06578940153,-0.2178684175,0.1900956333,-309.7009277,-36.3820343,-102.2679138,-53.69906616,26.31048584,172.3092499
0.48,-0.1340179443,0.9937133789,-0.1453094482,-0.7908325195,-0.5635986328,0.2233581543,-0.02312183008,-0.01556058414,0.04861946777,-0.1004658863,-0.1371919364,0.2010082006,-309.496582,-36.53993225,-101.8849487,-53.27944946,26.26617432,172.3143005
0.49,-0.1306762695,1.005264282,-0.1528015137,-0.8006439209,-0.565826416,0.2033081055,-0.007486944553,-0.03596199676,0.06241357699,-0.1399919838,-0.02818529867,0.1872806698,-309.2970886,-36.47889709,-101.9963837,-53.635849,25.98513794,172.2918854
0.50,-0.129776001,1.007278442,-0.1507720947,-0.7997741699,-0.5584869385,0.2173309326,0.01286839414,-0.04869936407,0.07182598859,-0.141662851,0.06746798754,0.1646984071,-309.7669678,-36.71278381,-101.8122406,-53.71060181,26.11471558,172.5664368
0.51,-0.1298828125,1.000244141,-0.1467895508,-0.8042144775,-0.5416412354,0.25050354,0.02394128591,-0.04441300407,0.07785058767,-0.07773634046,0.1705637425,0.1621239185,-310.0524902,-36.42913818,-102.2817993,-53.61099243,25.87852478,172.6503143
0.52,-0.1295776367,0.9854125977,-0.1455841064,-0.8069458008,-0.5279541016,0.2736206055,0.02818663046,-0.02467445284,0.07546253502,-0.0003840278368,0.2822428644,0.1706223339,-309.7337646,-36.73600769,-101.6265564,-53.51072693,26.01713562,172.7269745
0.53,-0.1326904297,0.9727172852,-0.1471710205,-0.7926177979,-0.5287780762,0.2770385742,0.02160436101,0.006008091383,0.07385691255,0.06039703265,0.3442332745,0.1664582193,-309.4301147,-36.97093201,-101.6580658,-53.36593628,25.9319458,172.7010956
0.54,-0.1351928711,0.9664306641,-0.1454620361,-0.770324707,-0.5389709473,0.2796478271,0.003055178327,0.03707785904,0.07150240988,0.1102615297,0.3196277916,0.1608528048,-309.936554,-36.54925537,-101.8308868,-53.21885681,25.82929993,172.9287872
0.55,-0.1330718994,0.9615783691,-0.1470947266,-0.7616119385,-0.5520629883,0.2931518555,-0.01433020364,0.06612095982,0.06414942443,0.1393863857,0.2643578947,0.1602738202,-309.5670166,-36.84317017,-101.8731384,-53.27856445,25.67002869,172.8111267
0.56,-0.1324462891,0.9669952393,-0.1521911621,-0.7651977539,-0.5625610352,0.2927856445,-0.01774890348,0.08609201014,0.05094707012,0.1389118135,0.2203699201,0.1811452806,-308.8994446,-36.82962036,-101.7114258,-53.19859314,25.63908386,172.8786163
