Elapsed time (s),Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
0.00,-0.5563659668,-0.7229003906,0.471496582,-0.62159729,-0.6457519531,0.2936401367,0.05625501648,-0.1773116589,-0.02934244275,-0.1481378078,0.2549135089,0.06225698441,-332.2513428,-96.08265686,-80.91760254,-56.22241211,29.2808075,175.6446533
0.01,-0.5513153076,-0.7033538818,0.4649047852,-0.6453704834,-0.6471710205,0.3119049072,0.05311674625,-0.1527709067,-0.03720276058,-0.1245163605,0.2475136518,0.07503563166,-331.7720947,-95.90586853,-81.11854553,-56.11555481,29.03215027,175.6139679
0.02,-0.5468902588,-0.6860046387,0.4555969238,-0.669052124,-0.6518249512,0.318359375,0.04395547509,-0.1222319007,-0.04841626808,-0.1080164835,0.2115282267,0.1045852676,-331.9575806,-96.15557861,-81.04145813,-56.23181152,28.81739807,175.701828
0.03,-0.5461120605,-0.679977417,0.4497680664,-0.6686096191,-0.6493682861,0.3263549805,0.03029958159,-0.09648073465,-0.06338004023,-0.08363630623,0.169027105,0.1163782775,-332.4566956,-96.03492737,-81.20780945,-56.21038818,28.7414856,175.936203
0.04,-0.5464630127,-0.6723022461,0.4536132813,-0.6505432129,-0.6485290527,0.3325805664,0.01468094159,-0.07735551149,-0.05974748731,-0.05044319853,0.1234588176,0.09477950633,-332.7478027,-96.23368835,-81.08067322,-56.22029114,28.68408203,175.7843475
0.05,-0.5381774902,-0.6562957764,0.4527435303,-0.6398010254,-0.6576080322,0.3332214355,-0.009361010976,-0.05492130667,-0.05973150581,-0.03175633028,0.09012882411,0.06276271492,-332.6071777,-96.05831909,-81.04219055,-56.19216919,28.71221924,175.9497528
0.06,-0.5332489014,-0.6463623047,0.4484710693,-0.6426849365,-0.6603393555,0.3278961182,-0.03059865534,-0.02334340662,-0.05322007835,-0.02117985301,0.04572274536,0.03914527223,-332.3305054,-95.84716797,-81.40255737,-56.07345581,28.739151,175.91745
0.07,-0.5303649902,-0.6496734619,0.4481964111,-0.6584014893,-0.6591949463,0.3213043213,-0.05133908615,0.005196626298,-0.04280019552,-0.01975532807,-0.008817992173,0.02905961499,-332.7747803,-95.90194702,-81.10803223,-56.3086853,28.79876709,176.0086823
0.08,-0.5279388428,-0.6566619873,0.4488525391,-0.6772003174,-0.6622467041,0.3162078857,-0.06199865416,0.02691816725,-0.03823660314,-0.02269199677,-0.06893725693,0.03017681092,-333.2527466,-95.83406067,-80.82528687,-56.14091492,28.7244873,175.8924408
0.09,-0.5375976563,-0.6715545654,0.4523773193,-0.6871185303,-0.663772583,0.3059082031,-0.06174512208,0.03202717379,-0.03675055876,-0.03250201792,-0.09171846509,0.04293548316,-332.7922363,-95.74943542,-80.93823242,-56.34913635,28.68826294,175.8160248
0.10,-0.5484313965,-0.6843566895,0.4634246826,-0.6961975098,-0.6667022705,0.2933654785,-0.05743959174,0.02002297714,-0.01728657819,-0.03410470858,-0.08292817324,0.07936006784,-332.6911011,-96.01132202,-80.74433899,-56.11743164,28.69763184,175.8824921
0.11,-0.5569610596,-0.6884155273,0.4766845703,-0.693862915,-0.6722106934,0.2887268066,-0.04659572989,0.008144212887,0.00298646884,-0.03602431342,-0.06976496428,0.09356856346,-332.8696289,-95.91394043,-81.10827637,-56.0826416,28.66844177,175.8810577
0.12,-0.5612182617,-0.6904144287,0.4801330566,-0.6753540039,-0.6719207764,0.2890625,-0.04321112111,-0.004425374791,0.01157036982,-0.03816975653,-0.09675716609,0.07145873457,-333.3035278,-95.79650879,-80.75340271,-55.90130615,28.5355072,175.8283234
0.13,-0.5686187744,-0.6960906982,0.4790496826,-0.6611175537,-0.6626434326,0.2898101807,-0.03983050212,-0.01101137232,0.005420331843,-0.04260205477,-0.1456272453,0.020581441,-332.7392578,-95.74612427,-80.63398743,-56.2203064,28.58164978,175.727417
0.14,-0.5746154785,-0.6954956055,0.4739227295,-0.6534881592,-0.6591796875,0.2898254395,-0.03081197478,-0.005984655581,-0.00066365971,-0.04162680358,-0.1514630318,-0.03880731761,-333.4438477,-95.63348389,-80.97145081,-55.9239502,28.58633423,175.6864929
0.15,-0.5777587891,-0.6871185303,0.4703979492,-0.6573944092,-0.6615142822,0.2901763916,-0.03124740161,0.007976167835,-0.00509595871,-0.04670784995,-0.1324874759,-0.05883615091,-333.0938721,-95.5688324,-80.93774414,-56.15504456,28.66210938,175.6324768
0.16,-0.5695037842,-0.6784667969,0.4686737061,-0.677154541,-0.657043457,0.2976074219,-0.03391509131,0.0393348895,-0.01780456305,-0.05189888552,-0.1319449842,-0.04176449031,-333.253479,-95.53311157,-80.70414734,-56.10769653,28.6381073,175.7212372
