Elapsed time (s),,Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel-X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
0.00,,-0.6731109619,-0.4989624023,0.5508422852,-0.9352111816,-0.287689209,-0.277923584,-0.003771568649,0.1516260058,-0.06792818755,-0.2285783142,-0.001571265049,-0.03010410629,-317.5177612,-112.5969391,-88.51980591,-52.32687378,51.51860046,150.4744263
0.01,,-0.6765289307,-0.4993286133,0.5553741455,-0.9494476318,-0.2969207764,-0.2539367676,0.009359412827,0.1514864564,-0.06760940701,-0.2184463143,-0.003550260095,-0.01036555506,-317.6228638,-112.881073,-88.65782166,-52.24258423,51.58746338,150.440033
0.02,,-0.6782684326,-0.5004425049,0.5629577637,-0.9480133057,-0.3014526367,-0.2350006104,0.0204008799,0.1504475623,-0.06321199238,-0.2022929192,-0.006162288599,-0.005550027825,-317.2907104,-112.6789246,-88.48962402,-52.15904236,51.55586243,150.4994507
0.03,,-0.6781768799,-0.5032196045,0.5645446777,-0.9392242432,-0.3076477051,-0.2168884277,0.03504187241,0.1474017054,-0.05872057006,-0.1707419157,-0.01982749999,-0.00772955874,-317.5119324,-113.124115,-87.98834229,-52.07746887,51.44825745,150.4468536
0.04,,-0.6792449951,-0.508682251,0.5631561279,-0.9272918701,-0.3138427734,-0.2040252686,0.04590996727,0.1390337795,-0.05927530676,-0.1285883337,-0.04286277667,-0.01474618912,-317.3823242,-112.9333649,-88.16827393,-52.16873169,51.42956543,150.5228729
0.05,,-0.6771392822,-0.5099639893,0.5619659424,-0.9193572998,-0.313659668,-0.1992950439,0.04720985517,0.1316286027,-0.06131182611,-0.08257211,-0.03996712342,-0.03188842535,-317.1924133,-112.4723511,-87.87623596,-52.0539856,51.4200592,150.4720459
0.06,,-0.6791534424,-0.5042419434,0.5643157959,-0.9097747803,-0.3137054443,-0.1976165771,0.03642618284,0.131713286,-0.06877160817,-0.03183649108,-0.02955549583,-0.07166646421,-317.1792908,-112.5204773,-88.27018738,-52.56678772,51.58410645,150.3515778
0.07,,-0.6839141846,-0.4948120117,0.5686187744,-0.8980560303,-0.3198394775,-0.1995391846,0.02465980686,0.1277092248,-0.07401377708,-0.0001763012697,-0.05687287077,-0.1033942997,-316.769104,-112.7498322,-88.17102051,-52.10736084,51.48558044,150.4170532
0.08,,-0.6832580566,-0.4879150391,0.5723266602,-0.8996887207,-0.31590271,-0.2130584717,0.01271686051,0.1268453002,-0.0712422207,0.006439789664,-0.08086422086,-0.1295537353,-317.246521,-112.6863708,-88.0927887,-52.31520081,51.76460266,150.4090424
0.09,,-0.6764831543,-0.4910583496,0.5697021484,-0.9142303467,-0.3084259033,-0.2361907959,0.008051268756,0.1279979199,-0.07054500282,-0.001421595342,-0.08098566532,-0.1257693768,-318.1474609,-112.4759216,-87.86697388,-52.19351196,51.75531006,150.2637787
0.10,,-0.6746673584,-0.49559021,0.5694580078,-0.935256958,-0.3003845215,-0.2557678223,0.003420297755,0.1238969117,-0.07789346576,-0.00455027679,-0.08495430648,-0.1038190722,-317.4505615,-112.4436951,-87.70783997,-52.14289856,51.55751038,150.141922
0.11,,-0.6769714355,-0.4958190918,0.5709838867,-0.9509429932,-0.2959289551,-0.2598876953,-0.001342765754,0.1194092184,-0.08566430211,-0.00441738544,-0.09028542042,-0.07212692499,-317.3140869,-112.4752655,-87.73417664,-51.91368103,51.65087891,150.1773682
0.12,,-0.67237854,-0.4920959473,0.5703277588,-0.9602966309,-0.2886352539,-0.2581481934,-0.0007472829893,0.1230771914,-0.08872161061,-0.0134758614,-0.08217902482,-0.03942197561,-317.3502808,-112.6154938,-87.61239624,-52.18534851,51.75350952,150.2544708
0.13,,-0.6662445068,-0.4885559082,0.5679779053,-0.9612884521,-0.286529541,-0.2629547119,0.0009262474487,0.1275390536,-0.09912098944,-0.01971298456,-0.07639597356,-0.01500132028,-317.6496582,-112.4190674,-87.83700562,-52.35621643,51.69760132,150.2023315
0.14,,-0.6622161865,-0.4877929688,0.5639038086,-0.9587860107,-0.2885284424,-0.2623901367,0.004467452876,0.1382289827,-0.1037282571,-0.01573049277,-0.06508020312,0.03069000132,-318.0494385,-112.4773102,-87.56274414,-52.16398621,51.71325684,150.0824585
0.15,,-0.6578826904,-0.4897766113,0.5605010986,-0.9682312012,-0.2882232666,-0.2505340576,0.007885619998,0.1501245201,-0.09910926968,-0.002672482049,-0.05162670836,0.09212486446,-317.8922729,-112.3902893,-87.34280396,-52.17277527,51.6257019,150.2095032
0.16,,-0.6543273926,-0.4887695313,0.5558166504,-0.971496582,-0.2849884033,-0.2477264404,0.01433153544,0.1654139906,-0.09356483817,0.001138235093,-0.03096430749,0.133220911,-317.9074707,-112.1839294,-87.79005432,-52.22650146,51.50390625,150.2373505
0.17,,-0.6524505615,-0.487991333,0.5518798828,-0.9537506104,-0.282623291,-0.2575836182,0.01977477036,0.1721467376,-0.09138344228,-0.006236590445,0.02114443295,0.1533842236,-317.9418335,-112.1704559,-87.69854736,-52.06970215,51.26194763,150.1585693
0.18,,-0.6520385742,-0.4823760986,0.5542144775,-0.9262542725,-0.2860717773,-0.2722320557,0.02742230333,0.1695307046,-0.08169832826,-0.01476935856,0.05389971659,0.1586881876,-318.1818237,-112.1009064,-87.29066467,-52.21365356,51.42945862,150.2854767
0.19,,-0.6557617188,-0.4747924805,0.560836792,-0.9029998779,-0.293548584,-0.2751922607,0.0322679244,0.1615377665,-0.07081771642,-0.009359679185,0.06715639681,0.1399360597,-318.0632935,-112.2753143,-87.30274963,-51.9773407,51.27909851,150.0900269
0.20,,-0.6566162109,-0.4718475342,0.5686950684,-0.891998291,-0.2988586426,-0.2621154785,0.03281227499,0.155854851,-0.06107800081,-0.001504419721,0.06875962019,0.1153289899,-317.6300354,-112.065918,-87.7674408,-52.07640076,51.14602661,150.2613525
0.21,,-0.6532745361,-0.4785003662,0.573425293,-0.8913269043,-0.3013916016,-0.2561340332,0.03676600382,0.1460224539,-0.05377507955,-0.0009081379394,0.06405221671,0.09948317707,-318.399231,-112.1775208,-87.32327271,-52.17915344,51.26237488,150.1981812
0.22,,-0.6524200439,-0.4887237549,0.5777893066,-0.8864746094,-0.3038482666,-0.2532653809,0.03459872305,0.1425710022,-0.0526006259,0.001048486563,0.05571865663,0.08009749651,-317.9393311,-112.4153442,-87.37162781,-52.16650391,51.41436768,150.2991791
0.23,,-0.6493835449,-0.4975738525,0.5775146484,-0.8866271973,-0.3074798584,-0.2565765381,0.04089230672,0.1463391036,-0.05316015705,0.002319879597,0.03873061761,0.06309747696,-317.9273376,-112.0290222,-87.14755249,-52.23651123,51.23553467,150.4071045
0.24,,-0.6438293457,-0.4986724854,0.5699768066,-0.8889465332,-0.3124847412,-0.2570648193,0.04377038404,0.1519314796,-0.05297932774,0.003593403148,0.03300109133,0.06579019874,-318.0284424,-112.2242584,-87.61174011,-52.2651825,51.20648193,150.3664093
